state,county,crop,practice,product,product_code,coverage_level,units,fsa,net_rev
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,85%,Enterprise,N/A,-61.00238794
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,No Insurance,Enterprise,ARC-CO,-40.57267135
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,50%,Enterprise,ARC-CO,-33.33108756
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,55%,Enterprise,ARC-CO,-30.23385425
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,60%,Enterprise,ARC-CO,-26.29104757
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,65%,Enterprise,ARC-CO,-21.46864947
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,70%,Enterprise,ARC-CO,-15.76811214
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,75%,Enterprise,ARC-CO,-10.47944959
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,80%,Enterprise,ARC-CO,-8.247085859
Arkansas,Lawrence,Soybeans,Irrigated,RP,2,85%,Enterprise,ARC-CO,-11.27724627
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,No Insurance,Basic,PLC,-90.29781302
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,50%,Basic,PLC,-84.93308849
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,55%,Basic,PLC,-83.00468414
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,60%,Basic,PLC,-80.2129505
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,65%,Basic,PLC,-77.84704584
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,70%,Basic,PLC,-74.06605
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,75%,Basic,PLC,-71.07925164
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,80%,Basic,PLC,-69.42897182
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,85%,Basic,PLC,-70.13384109
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,No Insurance,Basic,N/A,-90.29781302
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,50%,Basic,N/A,-84.93308849
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,55%,Basic,N/A,-83.00468414
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,60%,Basic,N/A,-80.2129505
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,65%,Basic,N/A,-77.84704584
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,70%,Basic,N/A,-74.06605
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,75%,Basic,N/A,-71.07925164
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,80%,Basic,N/A,-69.42897182
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,85%,Basic,N/A,-70.13384109
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,No Insurance,Basic,ARC-CO,-40.57267135
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,50%,Basic,ARC-CO,-35.20794682
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,55%,Basic,ARC-CO,-33.27954247
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,60%,Basic,ARC-CO,-30.48780884
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,65%,Basic,ARC-CO,-28.12190417
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,70%,Basic,ARC-CO,-24.34090833
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,75%,Basic,ARC-CO,-21.35410997
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,80%,Basic,ARC-CO,-19.70383015
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,85%,Basic,ARC-CO,-20.40869942
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,No Insurance,Enterprise,PLC,-90.29781302
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,50%,Enterprise,PLC,-83.89217179
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,55%,Enterprise,PLC,-81.18140192
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,60%,Enterprise,PLC,-77.69173488
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,65%,Enterprise,PLC,-73.41541684
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,70%,Enterprise,PLC,-68.28864282
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,75%,Enterprise,PLC,-63.39182708
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,80%,Enterprise,PLC,-60.73362132
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,85%,Enterprise,PLC,-62.17437848
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,No Insurance,Enterprise,N/A,-90.29781302
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,50%,Enterprise,N/A,-83.89217179
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,55%,Enterprise,N/A,-81.18140192
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,60%,Enterprise,N/A,-77.69173488
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,65%,Enterprise,N/A,-73.41541684
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,70%,Enterprise,N/A,-68.28864282
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,75%,Enterprise,N/A,-63.39182708
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,80%,Enterprise,N/A,-60.73362132
Arkansas,Lawrence,Soybeans,Irrigated,RP-HPE,3,85%,Enterprise,N/A,-62.17437848
